id,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,Altitude
29,Arabica,Coffee Quality Union,Colombia,Finca El Paraiso,CQU2022001,Finca El Paraiso,,Coffee Quality Union,"Cauca Department, municipality of Piendamo",Diego Samuel Bermudez,1,30 kg,Japan Coffee Exchange,2021,"January 28th, 2022",Coffee Quality Union,Castillo,Double anaerobic fermentation,8.5,8.33,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.42,88.0,11.7 %,0 full defects,1,Greenish,4 full defects,"January 28th, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,1700-1930
30,Arabica,Hsu Ting Yey許定燁,Taiwan,卓武山咖啡農場Zhou Wu Mountain Coffee Farm,1,卓武山咖啡農場Zhou Wu Mountain Coffee Farm,,Taiwan Coffee Laboratory,"嘉義縣 Alishan Township, Chiayi County","許定燁 Hsu, Ying-Yeh",1,30 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"April 6th, 2022",Hsu Ting Yey許定燁,Gesha,Natural / Dry,8.58,8.5,7.83,8.25,7.92,8.17,10.0,10.0,10.0,8.42,87.67,10.6 %,0 full defects,0,Green,0 full defects,"April 6th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",1200
31,Arabica,Qingshanping,Taiwan,QingShanPingKaFeiNongChang青山坪咖啡農場,202104,yes,,QingShanPingKaFeiNongChang青山坪咖啡農場,"Caoling, Gukeng Township, Yunlin County",王清連,8,1 kg,Japan Coffee Exchange,2021,"December 13th, 2021",Qingshanping,Gesha,Natural / Dry,8.25,8.25,8.08,8.33,8.0,8.17,10.0,10.0,10.0,8.17,87.25,11.8 %,0 full defects,1,Green,3 full defects,"December 13th, 2022",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,800
32,Arabica,Coffee Quality Union,Ethiopia,Halo Barti cooperative,CQU2022010,Halo Barti cooperative,,Coffee Quality Union,"Gedeb,Yirgacheffe,Sidamo",Halo Barti cooperative,8,10 kg,Japan Coffee Exchange,2021,"May 2nd, 2022",Coffee Quality Union,"Wolishalo,Kurume,Dega",Washed / Wet,8.25,8.25,8.08,8.25,8.0,8.0,10.0,10.0,10.0,8.25,87.08,11.7 %,0 full defects,2,Green,3 full defects,"May 2nd, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,1900-2100
33,Arabica,Coffee Quality Union,Ethiopia,Niguse Gemeda Mude,CQU2022003,Niguse Gemeda Mude,,Coffee Quality Union,"Haisa, Karamo, Sidamo",Niguse Gemeda Mude,1,5 kg,Japan Coffee Exchange,2021,"January 28th, 2022",Coffee Quality Union,74158（Kudhume subspecies）,Natural / Dry,8.33,8.25,8.17,8.08,8.0,8.0,10.0,10.0,10.0,8.25,87.08,11.8 %,0 full defects,0,yellow green,0 full defects,"January 28th, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,2320-2380
34,Arabica,Olkai Coffee Export,Ethiopia,Chirecha,Chirecha,Tagel Alemayehu washed and dry coffee processing facility.,,Olkai Coffee Export,Oromia,Tagel Alemayehu,320,19200 kg,Coffee Laboratory LTD,2021,"September 27th, 2021",Olkai Coffee Export,Ethiopian Heirlooms,Natural / Dry,7.83,8.08,8.08,8.42,7.92,8.08,10.0,10.0,10.0,8.08,86.5,11.3 %,0 full defects,3,yeloow-green,0 full defects,"September 27th, 2022",Coffee Laboratory LTD,"93 Lower Baggot Street, Dublin 2, D02Y588, Republic of Ireland",Alin Giriada - 00353863380937,2150 - 2250
35,Arabica,Dongbi,Taiwan,Dongbi-manor東碧咖啡莊園,20210303,yes,,Dongbi-manor東碧咖啡莊園,"Shek Pik, Gukeng Township, Yunlin County",陳景立,10,1 kg,Japan Coffee Exchange,2021,"December 13th, 2021",Dongbi,Gesha,Pulped natural / honey,8.0,8.17,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.17,86.33,11.6 %,0 full defects,0,greenish,1 full defects,"December 13th, 2022",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,1300
36,Arabica,Goodfun,Taiwan,Good Fun Coffee Manor古峰咖啡莊園,1100302,yes,,Good Fun Coffee Manor古峰咖啡莊園,"Shek Pik, Gukeng Township",YanheLai賴彥合,10,1 kg,Japan Coffee Exchange,2021,"December 13th, 2021",Goodfun,Gesha,Washed / Wet,8.0,8.08,8.0,8.17,7.92,8.0,10.0,10.0,10.0,8.08,86.25,11.8 %,0 full defects,1,Green,0 full defects,"December 13th, 2022",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,1200
37,Arabica,郭亮志 GuoLiangZhi,Taiwan,嵩岳咖啡Songyue Coffee Manor,1,嵩岳咖啡Songyue Coffee Manor,,Taiwan Coffee Laboratory,"雲林縣古坑鄉 Gukeng Township, Yunlin County",郭亮志 Guo Liang Zhi,2,50 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2022,"April 6th, 2022",郭亮志 GuoLiangZhi,Gesha,Natural / Dry,8.17,8.17,7.83,8.0,7.83,8.08,10.0,10.0,10.0,8.08,86.17,9.1 %,0 full defects,0,Green,1 full defects,"April 6th, 2023",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612",1200
38,Arabica,SOLOMON WORKU,Ethiopia,SOLOMON WORKU,8.33,SOLOMON WORKU COFFEE PROCESSING,010/0115/0038,SMS PLC,ADDIS ABABA,SOLOMON WORKU COFFEE PROCESSING,250,60 kg,METAD Agricultural Development plc,2020,"June 4th, 2021",SOLOMON WORKU,Ethiopian Yirgacheffe,Washed / Wet,8.0,8.0,7.92,8.0,8.08,8.0,10.0,10.0,10.0,8.0,86.0,9.3 %,0 full defects,4,Blue-Green,1 full defects,"June 4th, 2022",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196",1950
