id,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,Altitude
0,Robusta,Coffee Quality Union,Vietnam,Valleys farm,CQU2022004LEKSHA,Valleys farm,,Coffee Quality Union,"Loc Duc, Lam Dong",Valleys farm,2,30 kg,Japan Coffee Exchange,2021,"January 28th, 2022",Coffee Quality Union,Robusta,Anearobic Natural,8.33,8.42,7.92,8.33,8.0,8.17,10.0,10.0,8.17,8.25,85.58,12 %,0 full defects,2,brownish,3 full defects,"January 28th, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,800-830
1,Robusta,Coffee Quality Union,Vietnam,Valleys farm,CQU2022005ANAHO. B,Valleys farm,,Coffee Quality Union,"Loc Duc, Lam Dong",Valleys farm,2,30 kg,Japan Coffee Exchange,2021,"January 28th, 2022",Coffee Quality Union,Robusta,Anearobic Natural,8.08,8.08,8.0,8.17,8.0,8.25,10.0,10.0,8.17,8.33,85.08,12 %,0 full defects,0,brownish,1 full defects,"January 28th, 2023",Japan Coffee Exchange,"〒413-0002 静岡県熱海市伊豆山１１７３−５８ 1173-58 Izusan, Atami, Shizuoka, 413-0002 JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901,800-830
2,Robusta,Nishant Gurjer,India,Sethuraman Estate,14/1148/2021/28,Kaapi Royale,14/1148/2021/28,Kaapi Royale,"Honey Tree,Sethuraman Estate Magundi",Nishant Gurjer,170,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2021,"November 29th, 2021",Nishant Gurjer,CxR Robusta,Washed / Wet,8.0,8.17,8.0,8.33,8.17,8.25,10.0,10.0,8.0,8.17,85.08,11.9 %,0 full defects,2,brownish,2 full defects,"November 29th, 2022",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Tirza Odermatt - +41 41 728 72 81,947
3,Robusta,Stone Village Lab & Education,Vietnam,TAMBA COFFEE FARM,SV-ICP VN013,TAMBA COFFEE FARM,,Stone Village Lab ICP - Vietnam,Gia Lai Province,Mr.Quang,2,60 kg,Stone Village Lab & Institute Of Quality,2021 / 2022,"March 31st, 2022",Stone Village Lab & Education,Robusta TR4,VFR Natural,8.33,8.33,8.0,8.08,7.83,8.0,10.0,10.0,8.17,8.0,84.75,11.3 %,0 full defects,0,Green,1 full defects,"March 31st, 2023",Stone Village Lab & Institute Of Quality,"297 Tran Phu street, Thang Loi Ward, Buon Ma Thuot city, Dak Lak Province, Vietnam",Stone Village Lab Quality Service - +84 788891905,750
4,Robusta,Mabini C. Ubuan,Philippines,Sigay Coffee Growers AR Coop,PCQC2021 RF3,Sigay Coffee Growers AR Coop,,Barista & Coffee Academy of Asia,Ilocos Region,Mabini C. Ubuan,3,59 kg,Barista and Coffee Academy of Asia,2020,"June 24th, 2021",Mabini C. Ubuan,,Natural / Dry,8.33,8.33,8.17,8.08,7.92,7.75,10.0,10.0,8.0,7.92,84.5,11.3 %,0 full defects,0,brownish,2 full defects,"June 24th, 2022",Barista and Coffee Academy of Asia,"The Place Bldg., Tunasan, Muntinlupa City, Metro Manila ​Philippines",Rosario Cruz - +63 995 344 5688,900
5,Robusta,Stone Village Lab & Education,Vietnam,The Coffee Farmer,SV-ICP VN008,The Coffee Farmer,,Stone Village Lab ICP - Vietnam,Gia Lai,"Mr. Kaldi Tai, Mr. Xuan Son",3,60 kg,Stone Village Lab & Institute Of Quality,2021 / 2022,"March 31st, 2022",Stone Village Lab & Education,Robusta,Anaerobic Natural,8.08,8.25,7.67,8.17,7.83,8.17,10.0,10.0,8.08,8.25,84.5,8.8 %,0 full defects,0,Green,1 full defects,"March 31st, 2023",Stone Village Lab & Institute Of Quality,"297 Tran Phu street, Thang Loi Ward, Buon Ma Thuot city, Dak Lak Province, Vietnam",Stone Village Lab Quality Service - +84 788891905,800
6,Robusta,Marielle Gannad,Philippines,Tirad Pass Coffee Growers Association,PCQC2021 RF8,Tirad Pass Coffee Growers Association,,Barista & Coffee Academy of Asia,Ilocos Region,Marielle M. Gannad,3,59 kg,Barista and Coffee Academy of Asia,2020,"June 24th, 2021",Marielle Gannad,,Natural / Dry,8.42,7.83,7.83,8.08,8.08,8.0,10.0,10.0,8.08,8.0,84.33,10.5 %,0 full defects,0,brownish,3 full defects,"June 24th, 2022",Barista and Coffee Academy of Asia,"The Place Bldg., Tunasan, Muntinlupa City, Metro Manila ​Philippines",Rosario Cruz - +63 995 344 5688,640
7,Robusta,Erlinda Dao-ayan,Philippines,Tirad Pass Coffee Growers Association,PCQC2021 RF10,Tirad Pass Coffee Growers Association,,Barista & Coffee Academy of Asia,Ilocos Region,Erlinda Dao-ayan,3,59 kg,Barista and Coffee Academy of Asia,2020,"June 24th, 2021",Erlinda Dao-ayan,,Natural / Dry,8.33,8.08,7.92,8.08,8.0,7.83,10.0,10.0,8.08,7.92,84.25,9.6 %,0 full defects,0,yellow-green,1 full defects,"June 24th, 2022",Barista and Coffee Academy of Asia,"The Place Bldg., Tunasan, Muntinlupa City, Metro Manila ​Philippines",Rosario Cruz - +63 995 344 5688,800
8,Robusta,Stone Village Lab & Education,Vietnam,Future Coffee Farm,FF WN 2021/2022,Future Coffee Farm,,FUTURE COFFEE FARM -VIỆT NAM,LAM DONG,Future Coffee Farm,20,50 kg,Stone Village Lab & Institute Of Quality,2022,"January 24th, 2022",Stone Village Lab & Education,Robusta 138,Natural / Dry,8.25,8.0,8.17,7.92,7.58,7.92,10.0,10.0,8.33,8.08,84.25,11 %,0 full defects,0,Green,0 full defects,"January 24th, 2023",Stone Village Lab & Institute Of Quality,"297 Tran Phu street, Thang Loi Ward, Buon Ma Thuot city, Dak Lak Province, Vietnam",Stone Village Lab Quality Service - +84 788891905,800-950
9,Robusta,Stone Village Lab & Education,Vietnam,Future Coffee Farm,SV-ICP VN005,Future Coffee Farm,,Stone Village Lab ICP - Vietnam,Lam Dong,Ms.Hoa Nguyen,2,60 kg,Stone Village Lab & Institute Of Quality,2021 / 2022,"March 29th, 2022",Stone Village Lab & Education,Robusta 138,Winey Honey,8.0,8.0,8.0,8.0,7.92,7.92,10.0,10.0,8.08,8.08,84.0,10.8 %,0 full defects,0,Green,0 full defects,"March 29th, 2023",Stone Village Lab & Institute Of Quality,"297 Tran Phu street, Thang Loi Ward, Buon Ma Thuot city, Dak Lak Province, Vietnam",Stone Village Lab Quality Service - +84 788891905,800-950
